subject,sessionIndex,rep,H.period,DD.period.x,UD.period.x,H.x,DD.x.a,UD.x.a,H.a,DD.a.t,UD.a.t,H.t,DD.t.1,UD.t.1,H.1,DD.1.7,UD.1.7,H.7,DD.7.p,UD.7.p,H.p,DD.p.a,UD.p.a,H.a,DD.a.d,UD.a.d,H.d,DD.d.n,UD.d.n,H.n,DD.n.Return,UD.n.Return,H.Return
subject2,2,13,0.0883090496,0.2878100872,0.1995010376,0.1617908478,0.2663719654,0.1045811176,0.1528260708,0.2575879097,0.1047618389,0.1251990795,0.2413830757,0.1161839962,0.1432828903,0.2731978893,0.129914999,0.0978410244,0.4848890305,0.3870480061,0.12413311,0.1550161839,0.0308830738,0.1330258846,0.0900938511,-0.0429320335,0.1457180977,0.211974144,0.0662560463,0.1089158058,0.2773067951,0.1683909893,0.1421000957
subject2,2,14,0.0938551426,0.1873791218,0.0935239792,0.1142020226,0.1905879974,0.0763859749,0.1316628456,0.2248539925,0.0931911469,0.1341948509,0.2318179607,0.0976231098,0.1538529396,0.2156720161,0.0618190765,0.0869879723,0.4516088963,0.364620924,0.1171109676,0.1612210274,0.0441100597,0.1771290302,0.1239440441,-0.0531849861,0.159113884,0.2040739059,0.044960022,0.0937919617,0.2922310829,0.1984391212,0.1221299171
subject2,2,15,0.087446928,0.2076878548,0.1202409267,0.1178970337,0.1579930782,0.0400960445,0.1483318806,0.2135410309,0.0652091503,0.1343460083,0.2912769318,0.1569309235,0.1235558987,0.2090160847,0.085460186,0.0922329426,0.436275959,0.3440430164,0.1175818443,0.1225478649,0.0049660206,0.1693131924,0.179954052,0.0106408596,0.1658639908,0.1774530411,0.0115890503,0.106441021,0.3017590046,0.1953179836,0.1130530834
subject2,2,16,0.0928530693,0.2663891315,0.1735360622,0.1381628513,0.1880648136,0.0499019623,0.1439640522,0.2243909836,0.0804269314,0.1272711754,0.2197761536,0.0925049782,0.1483318806,0.2480938435,0.0997619629,0.142701149,0.5334911346,0.3907899857,0.1288969517,0.1376390457,0.008742094,0.1819188595,0.1532988548,-0.0286200047,0.1575491428,0.2079491615,0.0504000187,0.1372499466,0.3312950134,0.1940450668,0.1965248585
subject2,2,17,0.1294178963,0.1878268719,0.0584089756,0.153042078,0.1484320164,-0.0046100616,0.1932380199,0.2529940605,0.0597560406,0.1485319138,0.2419538498,0.093421936,0.1532440186,0.3223230839,0.1690790653,0.1280989647,0.4630451202,0.3349461555,0.1389198303,0.1442239285,0.0053040981,0.1639220715,0.1071550846,-0.0567669868,0.1735129356,0.2294127941,0.0558998585,0.0880100727,0.2656981945,0.1776881218,0.1333007813
subject2,2,18,0.077244997,0.4170708656,0.3398258686,0.1255049706,0.1758031845,0.050298214,0.1439318657,0.2765009403,0.1325690746,0.1295349598,0.2728888988,0.1433539391,0.1277599335,0.3166720867,0.1889121532,0.0984978676,0.5025968552,0.4040989876,0.1081662178,0.1031811237,-0.0049850941,0.1432518959,0.1489338875,0.0056819916,0.1580531597,0.2518541813,0.0938010216,0.1088659763,0.3179979324,0.2091319561,0.1220850945
subject2,2,19,0.1106369495,0.2562007904,0.1455638409,0.1268930435,0.1586720943,0.0317790508,0.1562180519,0.2312810421,0.0750629902,0.1204590797,0.2095549107,0.0890958309,0.1449751854,0.3060929775,0.1611177921,0.0928211212,0.5169711113,0.4241499901,0.1162769794,0.1068348885,-0.009442091,0.1582701206,0.1340661049,-0.0242040157,0.1532790661,0.1791319847,0.0258529186,0.0840039253,0.3066561222,0.2226521969,0.1232249737
subject2,2,20,0.1380329132,0.287072897,0.1490399837,0.1184830666,0.2070531845,0.088570118,0.133343935,0.2288048267,0.0954608917,0.1165161133,0.2014331818,0.0849170685,0.1133029461,0.1930530071,0.079750061,0.1191499233,0.4879119396,0.3687620163,0.117166996,0.1272280216,0.0100610256,0.1479439735,0.0802938938,-0.0676500797,0.1629710197,0.1773660183,0.0143949986,0.0991020203,0.2380330563,0.138931036,0.177767992
subject2,2,21,0.0860600471,0.2254428864,0.1393828392,0.1241250038,0.1829721928,0.0588471889,0.114481926,0.1838049889,0.0693230629,0.1141200066,0.1968460083,0.0827260017,0.1377668381,0.2523679733,0.1146011353,0.0966029167,0.4382529259,0.3416500092,0.1172049046,0.1493730545,0.0321681499,0.1212620735,0.05722785,-0.0640342236,0.1676380634,0.1839940548,0.0163559914,0.1079950333,0.2570130825,0.1490180492,0.1631829739
subject2,2,22,0.1209039688,0.1655809879,0.0446770191,0.133769989,0.1692960262,0.0355260372,0.1374759674,0.1731910706,0.0357151031,0.1178228855,0.2166659832,0.0988430977,0.127396822,0.222244978,0.094848156,0.103687048,0.4289159775,0.3252289295,0.1069710255,0.1216430664,0.0146720409,0.123759985,0.0851719379,-0.038588047,0.1438889503,0.1836130619,0.0397241116,0.0990078449,0.3023338318,0.2033259869,0.1171431541
subject2,2,23,0.1227729321,0.5442819595,0.4215090275,0.122189045,0.1923561096,0.0701670647,0.1375279427,0.2280740738,0.0905461311,0.1229569912,0.2708029747,0.1478459835,0.1336619854,0.2473018169,0.1136398315,0.0894780159,0.4332890511,0.3438110352,0.1177580357,0.2030651569,0.0853071213,0.1076939106,0.0736408234,-0.0340530872,0.1185040474,0.238161087,0.1196570396,0.0837268829,0.2722709179,0.188544035,0.127892971
subject2,2,24,0.1081600189,0.27739501,0.1692349911,0.1182601452,0.1881270409,0.0698668957,0.1468310356,0.2570681572,0.1102371216,0.1037797928,0.236014843,0.1322350502,0.1141281128,0.2689840794,0.1548559666,0.1025440693,0.402479887,0.2999358177,0.1232759953,0.1880521774,0.0647761822,0.1422019005,0.1982479095,0.0560460091,0.0977020264,0.1479380131,0.0502359867,0.108355999,0.3123369217,0.2039809227,0.1583380699
subject2,2,25,0.0984120369,0.1727309227,0.0743188858,0.1046772003,0.1880171299,0.0833399296,0.0794939995,0.1946780682,0.1151840687,0.126696825,0.2453238964,0.1186270714,0.1133069992,0.2232758999,0.1099689007,0.1036281586,0.4357011318,0.3320729733,0.1049759388,0.1641099453,0.0591340065,0.1432039738,0.1039741039,-0.0392298698,0.1283369064,0.1540808678,0.0257439613,0.0843770504,0.2723491192,0.1879720688,0.0883598328
subject2,3,1,0.0922601223,0.1975419521,0.1052818298,0.1097400188,0.1164021492,0.0066621304,0.1772909164,0.2699170113,0.0926260948,0.1363179684,0.2115440369,0.0752260685,0.1434128284,0.233071804,0.0896589756,0.0883071423,0.4057531357,0.3174459934,0.1365208626,0.1279909611,-0.0085299015,0.1648929119,0.1262779236,-0.0386149883,0.1533820629,0.1844520569,0.031069994,0.1120641232,0.2756130695,0.1635489464,0.1325690746
subject2,3,2,0.0922100544,0.1637210846,0.0715110302,0.1251468658,0.1203000546,-0.0048468113,0.1668999195,0.2461237907,0.0792238712,0.1272761822,0.2177209854,0.0904448032,0.1057112217,0.2231321335,0.1174209118,0.0997040272,0.4376609325,0.3379569054,0.1194391251,0.1622841358,0.0428450108,0.1417939663,0.0951628685,-0.0466310978,0.1566100121,0.212113142,0.05550313,0.1225748062,0.4275360107,0.3049612045,0.1257858276
subject2,3,3,0.1490898132,0.182518959,0.0334291458,0.1243469715,0.1339550018,0.0096080303,0.162250042,0.2437808514,0.0815308094,0.1470830441,0.2104940414,0.0634109974,0.1439371109,0.199062109,0.0551249981,0.0925750732,0.4173190594,0.3247439861,0.1076028347,0.1276538372,0.0200510025,0.1291751862,0.0903241634,-0.0388510227,0.1422708035,0.1574678421,0.0151970387,0.1091661453,0.2675740719,0.1584079266,0.133742094
subject2,3,4,0.0891129971,0.253485918,0.164372921,0.1225070953,0.141890049,0.0193829536,0.14376688,0.2258489132,0.0820820332,0.1461250782,0.2690420151,0.1229169369,0.1284160614,0.3077280521,0.1793119907,0.0880558491,0.4717450142,0.3836891651,0.0977649689,0.1394519806,0.0416870117,0.1418590546,0.1721148491,0.0302557945,0.1373860836,0.1839530468,0.0465669632,0.1119971275,0.3799591064,0.2679619789,0.1232979298
subject2,3,5,0.1478710175,0.28738904,0.1395180225,0.1531879902,0.2215869427,0.0683989525,0.1437370777,0.2244489193,0.0807118416,0.1331431866,0.2107479572,0.0776047707,0.1331131458,0.2827100754,0.1495969296,0.1062750816,0.4582121372,0.3519370556,0.1223080158,0.1522839069,0.0299758911,0.1530239582,0.1236729622,-0.029350996,0.1236591339,0.1735401154,0.0498809814,0.1230738163,0.3068318367,0.1837580204,0.1330871582
subject2,3,6,0.1082761288,0.1284210682,0.0201449394,0.137239933,0.1227450371,-0.0144948959,0.1933560371,0.2547960281,0.061439991,0.1465468407,0.265362978,0.1188161373,0.1379950047,0.203704834,0.0657098293,0.1183609962,0.451841116,0.3334801197,0.1383640766,0.1432271004,0.0048630238,0.1581938267,0.1232879162,-0.0349059105,0.1725709438,0.2039539814,0.0313830376,0.1027550697,0.271586895,0.1688318253,0.1380810738
subject2,3,7,0.1175379753,0.1738278866,0.0562899113,0.1217279434,0.160902977,0.0391750336,0.148473978,0.1995229721,0.0510489941,0.1426301003,0.250770092,0.1081399918,0.1230409145,0.2129318714,0.0898909569,0.0989730358,0.4775760174,0.3786029816,0.1283061504,0.1631851196,0.0348789692,0.1378090382,0.0741250515,-0.0636839867,0.1483688354,0.2529268265,0.104557991,0.1236782074,0.2975111008,0.1738328934,0.1357719898
subject2,3,8,0.0839428902,0.1995539665,0.1156110764,0.102586031,0.1272010803,0.0246150494,0.1628608704,0.2437739372,0.0809130669,0.1326920986,0.2416079044,0.1089158058,0.1237850189,0.2673721313,0.1435871124,0.0979340076,0.4621770382,0.3642430305,0.1084220409,0.1475739479,0.039151907,0.1437990665,0.0954239368,-0.0483751297,0.1521720886,0.2220981121,0.0699260235,0.1241579056,0.2872748375,0.1631169319,0.1629431248
subject2,3,9,0.1131448746,0.2613418102,0.1481969357,0.1097512245,0.1193580627,0.0096068382,0.1532120705,0.237653017,0.0844409466,0.1139340401,0.1840319633,0.0700979233,0.1409401894,0.2216091156,0.0806689262,0.1128020287,0.4954638481,0.3826618195,0.1242141724,0.1458492279,0.0216350555,0.1359097958,0.1560997963,0.0201900005,0.1445760727,0.2674441338,0.1228680611,0.1020350456,0.2680699825,0.1660349369,0.1179020405
